a. Wavelength (nm)
b. Surface reflectance values for sand surface
c. Surface reflectance values for soil surface
d. Surface reflectance values for snow surface
e. Surface reflectance values for vegetation surface
f. Surface reflectance values for water surface

     a       b       c       d       e       f
 280.0   0.091   0.030   0.949   0.059   0.025
 281.0   0.091   0.030   0.949   0.059   0.025
 282.0   0.091   0.030   0.949   0.059   0.025
 283.0   0.091   0.030   0.949   0.059   0.025
 284.0   0.091   0.030   0.949   0.059   0.025
 285.0   0.091   0.030   0.949   0.059   0.025
 286.0   0.091   0.030   0.949   0.059   0.025
 287.0   0.091   0.030   0.949   0.059   0.025
 288.0   0.091   0.030   0.949   0.059   0.025
 289.0   0.091   0.030   0.949   0.059   0.025
 290.0   0.091   0.030   0.949   0.059   0.025
 291.0   0.091   0.030   0.949   0.059   0.025
 292.0   0.091   0.030   0.949   0.059   0.025
 293.0   0.091   0.030   0.949   0.059   0.025
 294.0   0.091   0.030   0.949   0.059   0.025
 295.0   0.091   0.030   0.949   0.059   0.025
 296.0   0.091   0.030   0.949   0.059   0.025
 297.0   0.091   0.030   0.949   0.059   0.025
 298.0   0.091   0.030   0.949   0.059   0.025
 299.0   0.091   0.030   0.949   0.059   0.025
 300.0   0.091   0.030   0.949   0.059   0.025
 301.0   0.091   0.030   0.949   0.059   0.025
 302.0   0.092   0.030   0.949   0.059   0.025
 303.0   0.093   0.031   0.949   0.059   0.026
 304.0   0.093   0.031   0.949   0.059   0.026
 305.0   0.094   0.031   0.949   0.059   0.026
 306.0   0.095   0.031   0.949   0.059   0.026
 307.0   0.095   0.031   0.949   0.059   0.026
 308.0   0.096   0.032   0.950   0.059   0.026
 309.0   0.096   0.032   0.950   0.059   0.026
 310.0   0.097   0.032   0.950   0.059   0.026
 311.0   0.098   0.032   0.950   0.059   0.026
 312.0   0.098   0.032   0.950   0.059   0.027
 313.0   0.099   0.033   0.950   0.059   0.027
 314.0   0.099   0.033   0.950   0.059   0.028
 315.0   0.100   0.033   0.950   0.059   0.028
 316.0   0.101   0.033   0.950   0.059   0.028
 317.0   0.101   0.033   0.950   0.059   0.029
 318.0   0.102   0.034   0.951   0.059   0.029
 319.0   0.102   0.034   0.951   0.059   0.029
 320.0   0.103   0.034   0.951   0.059   0.029
 321.0   0.104   0.034   0.951   0.059   0.029
 322.0   0.104   0.034   0.951   0.059   0.029
 323.0   0.105   0.035   0.951   0.059   0.030
 324.0   0.106   0.035   0.951   0.059   0.030
 325.0   0.106   0.035   0.951   0.059   0.030
 326.0   0.106   0.035   0.951   0.059   0.030
 327.0   0.106   0.035   0.951   0.059   0.030
 328.0   0.106   0.035   0.952   0.059   0.031
 329.0   0.106   0.035   0.952   0.059   0.031
 330.0   0.106   0.035   0.952   0.059   0.031
 331.0   0.106   0.035   0.952   0.059   0.031
 332.0   0.107   0.035   0.952   0.059   0.031
 333.0   0.108   0.036   0.952   0.059   0.032
 334.0   0.108   0.036   0.952   0.059   0.032
 335.0   0.109   0.036   0.952   0.059   0.032
 336.0   0.110   0.036   0.952   0.059   0.032
 337.0   0.110   0.036   0.952   0.059   0.032
 338.0   0.111   0.037   0.953   0.059   0.032
 339.0   0.111   0.037   0.953   0.059   0.032
 340.0   0.112   0.037   0.953   0.059   0.032
 341.0   0.113   0.037   0.953   0.059   0.032
 342.0   0.113   0.037   0.953   0.059   0.032
 343.0   0.114   0.038   0.953   0.059   0.033
 344.0   0.114   0.038   0.953   0.059   0.033
 345.0   0.115   0.038   0.953   0.059   0.033
 346.0   0.116   0.038   0.953   0.059   0.033
 347.0   0.116   0.038   0.953   0.059   0.033
 348.0   0.117   0.039   0.954   0.059   0.033
 349.0   0.117   0.039   0.954   0.059   0.033
 350.0   0.118   0.039   0.954   0.059   0.033
 351.0   0.118   0.039   0.954   0.059   0.033
 352.0   0.119   0.039   0.954   0.059   0.033
 353.0   0.119   0.039   0.954   0.059   0.033
 354.0   0.120   0.040   0.954   0.059   0.033
 355.0   0.121   0.040   0.954   0.059   0.033
 356.0   0.122   0.040   0.954   0.059   0.033
 357.0   0.123   0.041   0.954   0.059   0.033
 358.0   0.125   0.041   0.954   0.059   0.034
 359.0   0.126   0.042   0.954   0.059   0.034
 360.0   0.127   0.042   0.954   0.059   0.034
 361.0   0.128   0.042   0.954   0.059   0.034
 362.0   0.128   0.042   0.954   0.059   0.034
 363.0   0.129   0.043   0.955   0.059   0.035
 364.0   0.129   0.043   0.955   0.059   0.035
 365.0   0.130   0.043   0.955   0.059   0.035
 366.0   0.131   0.043   0.955   0.059   0.035
 367.0   0.132   0.044   0.955   0.059   0.035
 368.0   0.134   0.044   0.955   0.059   0.036
 369.0   0.135   0.045   0.955   0.059   0.036
 370.0   0.136   0.045   0.955   0.059   0.036
 371.0   0.137   0.045   0.955   0.059   0.036
 372.0   0.138   0.046   0.955   0.059   0.036
 373.0   0.138   0.046   0.955   0.059   0.036
 374.0   0.139   0.046   0.955   0.059   0.036
 375.0   0.139   0.046   0.955   0.059   0.036
 376.0   0.139   0.046   0.955   0.059   0.036
 377.0   0.140   0.046   0.955   0.059   0.036
 378.0   0.140   0.046   0.956   0.059   0.036
 379.0   0.141   0.047   0.956   0.059   0.036
 380.0   0.142   0.047   0.956   0.059   0.036
 381.0   0.143   0.047   0.956   0.059   0.036
 382.0   0.144   0.048   0.956   0.059   0.036
 383.0   0.146   0.048   0.956   0.059   0.037
 384.0   0.147   0.049   0.956   0.059   0.037
 385.0   0.148   0.049   0.956   0.059   0.037
 386.0   0.149   0.049   0.956   0.059   0.037
 387.0   0.149   0.049   0.956   0.059   0.037
 388.0   0.150   0.050   0.956   0.059   0.037
 389.0   0.150   0.050   0.956   0.059   0.037
 390.0   0.151   0.050   0.956   0.059   0.037
 391.0   0.152   0.050   0.956   0.059   0.037
 392.0   0.153   0.051   0.956   0.059   0.037
 393.0   0.155   0.051   0.957   0.059   0.037
 394.0   0.156   0.052   0.957   0.059   0.038
 395.0   0.157   0.052   0.957   0.059   0.038
 396.0   0.158   0.052   0.957   0.059   0.038
 397.0   0.159   0.052   0.957   0.059   0.039
 398.0   0.159   0.053   0.957   0.059   0.039
 399.0   0.160   0.053   0.957   0.059   0.040
 400.0   0.160   0.053   0.957   0.059   0.040
 401.0   0.160   0.053   0.957   0.059   0.040
 402.0   0.161   0.054   0.957   0.059   0.041
 403.0   0.161   0.054   0.956   0.059   0.041
 404.0   0.162   0.055   0.956   0.059   0.042
 405.0   0.162   0.055   0.956   0.059   0.042
 406.0   0.162   0.055   0.956   0.059   0.042
 407.0   0.163   0.055   0.956   0.059   0.043
 408.0   0.163   0.056   0.956   0.059   0.043
 409.0   0.164   0.056   0.956   0.059   0.044
 410.0   0.164   0.056   0.956   0.059   0.044
 411.0   0.164   0.056   0.956   0.059   0.044
 412.0   0.165   0.057   0.956   0.059   0.045
 413.0   0.165   0.057   0.955   0.059   0.045
 414.0   0.166   0.058   0.955   0.059   0.046
 415.0   0.166   0.058   0.955   0.059   0.046
 416.0   0.166   0.058   0.955   0.059   0.046
 417.0   0.167   0.058   0.955   0.059   0.047
 418.0   0.167   0.059   0.955   0.059   0.047
 419.0   0.168   0.059   0.955   0.059   0.048
 420.0   0.168   0.059   0.955   0.059   0.048
 421.0   0.168   0.059   0.955   0.059   0.048
 422.0   0.169   0.060   0.955   0.059   0.048
 423.0   0.169   0.060   0.955   0.059   0.048
 424.0   0.170   0.061   0.954   0.059   0.048
 425.0   0.170   0.061   0.954   0.059   0.048
 426.0   0.170   0.061   0.954   0.059   0.048
 427.0   0.171   0.061   0.953   0.059   0.048
 428.0   0.171   0.062   0.953   0.059   0.048
 429.0   0.172   0.062   0.953   0.059   0.049
 430.0   0.172   0.062   0.953   0.059   0.049
 431.0   0.172   0.062   0.953   0.059   0.049
 432.0   0.173   0.063   0.953   0.059   0.049
 433.0   0.173   0.063   0.953   0.059   0.050
 434.0   0.174   0.064   0.953   0.059   0.050
 435.0   0.174   0.064   0.953   0.059   0.050
 436.0   0.174   0.064   0.953   0.059   0.050
 437.0   0.175   0.064   0.953   0.059   0.050
 438.0   0.175   0.065   0.952   0.059   0.051
 439.0   0.176   0.065   0.952   0.059   0.051
 440.0   0.176   0.065   0.952   0.059   0.051
 441.0   0.176   0.065   0.952   0.059   0.051
 442.0   0.177   0.066   0.952   0.059   0.051
 443.0   0.177   0.066   0.952   0.059   0.052
 444.0   0.178   0.067   0.952   0.059   0.052
 445.0   0.178   0.067   0.952   0.059   0.052
 446.0   0.178   0.067   0.952   0.059   0.052
 447.0   0.179   0.067   0.952   0.059   0.052
 448.0   0.179   0.068   0.951   0.059   0.052
 449.0   0.180   0.068   0.951   0.059   0.052
 450.0   0.180   0.068   0.951   0.059   0.052
 451.0   0.180   0.068   0.951   0.059   0.052
 452.0   0.181   0.069   0.951   0.059   0.052
 453.0   0.181   0.069   0.951   0.059   0.053
 454.0   0.182   0.070   0.951   0.059   0.053
 455.0   0.182   0.070   0.951   0.059   0.053
 456.0   0.182   0.070   0.951   0.059   0.053
 457.0   0.183   0.071   0.951   0.059   0.053
 458.0   0.183   0.071   0.950   0.059   0.053
 459.0   0.184   0.072   0.950   0.059   0.053
 460.0   0.184   0.072   0.950   0.059   0.053
 461.0   0.184   0.072   0.950   0.059   0.053
 462.0   0.185   0.073   0.950   0.059   0.053
 463.0   0.185   0.073   0.950   0.059   0.053
 464.0   0.186   0.074   0.950   0.059   0.053
 465.0   0.186   0.074   0.950   0.059   0.053
 466.0   0.186   0.074   0.950   0.059   0.053
 467.0   0.187   0.075   0.950   0.059   0.053
 468.0   0.187   0.075   0.949   0.059   0.053
 469.0   0.188   0.076   0.949   0.059   0.053
 470.0   0.188   0.076   0.949   0.059   0.053
 471.0   0.188   0.076   0.949   0.059   0.053
 472.0   0.189   0.077   0.949   0.059   0.053
 473.0   0.189   0.077   0.949   0.059   0.053
 474.0   0.190   0.078   0.949   0.059   0.053
 475.0   0.190   0.078   0.949   0.059   0.053
 476.0   0.190   0.078   0.949   0.059   0.053
 477.0   0.191   0.079   0.949   0.059   0.053
 478.0   0.191   0.079   0.948   0.059   0.053
 479.0   0.192   0.080   0.948   0.059   0.053
 480.0   0.192   0.080   0.948   0.059   0.053
 481.0   0.192   0.080   0.948   0.059   0.053
 482.0   0.193   0.081   0.948   0.059   0.053
 483.0   0.193   0.081   0.948   0.059   0.053
 484.0   0.194   0.082   0.948   0.059   0.053
 485.0   0.194   0.082   0.948   0.059   0.053
 486.0   0.194   0.082   0.948   0.059   0.053
 487.0   0.195   0.083   0.948   0.059   0.053
 488.0   0.195   0.083   0.947   0.059   0.052
 489.0   0.196   0.084   0.947   0.059   0.052
 490.0   0.196   0.084   0.947   0.059   0.052
 491.0   0.196   0.084   0.947   0.059   0.052
 492.0   0.197   0.085   0.947   0.059   0.052
 493.0   0.197   0.085   0.947   0.059   0.052
 494.0   0.198   0.086   0.947   0.059   0.052
 495.0   0.198   0.086   0.947   0.059   0.052
 496.0   0.198   0.086   0.947   0.059   0.052
 497.0   0.199   0.087   0.947   0.059   0.052
 498.0   0.199   0.087   0.946   0.059   0.052
 499.0   0.200   0.088   0.946   0.059   0.052
 500.0   0.200   0.088   0.946   0.059   0.052
 501.0   0.200   0.088   0.946   0.060   0.052
 502.0   0.201   0.089   0.946   0.060   0.052
 503.0   0.201   0.089   0.946   0.061   0.051
 504.0   0.202   0.090   0.946   0.062   0.051
 505.0   0.202   0.090   0.946   0.063   0.051
 506.0   0.202   0.090   0.946   0.064   0.051
 507.0   0.203   0.091   0.946   0.065   0.051
 508.0   0.203   0.091   0.945   0.065   0.051
 509.0   0.204   0.092   0.945   0.066   0.051
 510.0   0.204   0.092   0.945   0.067   0.051
 511.0   0.204   0.092   0.945   0.068   0.051
 512.0   0.205   0.093   0.945   0.069   0.051
 513.0   0.205   0.093   0.945   0.071   0.051
 514.0   0.206   0.094   0.945   0.072   0.051
 515.0   0.206   0.094   0.945   0.073   0.051
 516.0   0.206   0.094   0.945   0.074   0.051
 517.0   0.207   0.095   0.945   0.075   0.051
 518.0   0.207   0.095   0.945   0.076   0.050
 519.0   0.208   0.096   0.945   0.077   0.050
 520.0   0.208   0.096   0.945   0.078   0.050
 521.0   0.208   0.096   0.945   0.079   0.050
 522.0   0.209   0.097   0.945   0.081   0.050
 523.0   0.209   0.097   0.945   0.083   0.050
 524.0   0.210   0.098   0.945   0.084   0.050
 525.0   0.210   0.098   0.945   0.086   0.050
 526.0   0.210   0.098   0.945   0.088   0.050
 527.0   0.211   0.098   0.945   0.089   0.050
 528.0   0.211   0.099   0.944   0.091   0.049
 529.0   0.212   0.099   0.944   0.093   0.049
 530.0   0.212   0.099   0.944   0.095   0.049
 531.0   0.212   0.099   0.944   0.097   0.049
 532.0   0.213   0.100   0.944   0.099   0.049
 533.0   0.213   0.100   0.944   0.102   0.049
 534.0   0.214   0.101   0.944   0.104   0.048
 535.0   0.214   0.101   0.944   0.107   0.048
 536.0   0.214   0.101   0.944   0.110   0.048
 537.0   0.215   0.102   0.944   0.112   0.047
 538.0   0.215   0.102   0.944   0.115   0.047
 539.0   0.216   0.103   0.944   0.117   0.046
 540.0   0.216   0.103   0.944   0.119   0.046
 541.0   0.216   0.103   0.944   0.121   0.046
 542.0   0.217   0.104   0.944   0.122   0.046
 543.0   0.217   0.104   0.943   0.123   0.046
 544.0   0.218   0.105   0.943   0.125   0.046
 545.0   0.218   0.105   0.943   0.126   0.046
 546.0   0.218   0.105   0.943   0.128   0.046
 547.0   0.219   0.106   0.943   0.129   0.046
 548.0   0.219   0.106   0.943   0.131   0.045
 549.0   0.220   0.107   0.943   0.132   0.045
 550.0   0.220   0.107   0.943   0.133   0.045
 551.0   0.220   0.107   0.943   0.133   0.045
 552.0   0.221   0.108   0.943   0.134   0.045
 553.0   0.221   0.108   0.943   0.133   0.045
 554.0   0.222   0.109   0.943   0.133   0.045
 555.0   0.222   0.109   0.943   0.133   0.045
 556.0   0.222   0.110   0.943   0.133   0.045
 557.0   0.223   0.110   0.943   0.133   0.045
 558.0   0.223   0.111   0.942   0.133   0.044
 559.0   0.224   0.111   0.942   0.133   0.044
 560.0   0.224   0.112   0.942   0.133   0.044
 561.0   0.224   0.112   0.942   0.133   0.044
 562.0   0.225   0.113   0.942   0.132   0.044
 563.0   0.225   0.113   0.942   0.131   0.044
 564.0   0.226   0.114   0.942   0.131   0.044
 565.0   0.226   0.114   0.942   0.130   0.044
 566.0   0.226   0.114   0.942   0.129   0.044
 567.0   0.227   0.115   0.942   0.129   0.044
 568.0   0.227   0.115   0.941   0.128   0.043
 569.0   0.228   0.116   0.941   0.128   0.043
 570.0   0.228   0.116   0.941   0.127   0.043
 571.0   0.228   0.117   0.941   0.126   0.043
 572.0   0.229   0.117   0.941   0.125   0.043
 573.0   0.229   0.118   0.941   0.124   0.042
 574.0   0.230   0.118   0.941   0.122   0.042
 575.0   0.230   0.119   0.941   0.121   0.042
 576.0   0.230   0.119   0.941   0.120   0.042
 577.0   0.231   0.120   0.941   0.118   0.042
 578.0   0.231   0.120   0.941   0.117   0.041
 579.0   0.232   0.121   0.941   0.116   0.041
 580.0   0.232   0.121   0.941   0.115   0.041
 581.0   0.232   0.121   0.941   0.114   0.041
 582.0   0.233   0.122   0.941   0.113   0.041
 583.0   0.233   0.122   0.940   0.113   0.041
 584.0   0.234   0.123   0.940   0.112   0.041
 585.0   0.234   0.123   0.940   0.111   0.041
 586.0   0.234   0.123   0.940   0.110   0.041
 587.0   0.235   0.124   0.940   0.109   0.041
 588.0   0.235   0.124   0.940   0.109   0.040
 589.0   0.236   0.125   0.940   0.108   0.040
 590.0   0.236   0.125   0.940   0.107   0.040
 591.0   0.236   0.126   0.940   0.106   0.040
 592.0   0.237   0.126   0.940   0.106   0.040
 593.0   0.237   0.127   0.939   0.105   0.040
 594.0   0.238   0.127   0.939   0.105   0.040
 595.0   0.238   0.128   0.939   0.104   0.040
 596.0   0.238   0.128   0.939   0.103   0.040
 597.0   0.239   0.129   0.939   0.102   0.040
 598.0   0.239   0.129   0.939   0.102   0.039
 599.0   0.240   0.130   0.939   0.101   0.039
 600.0   0.240   0.130   0.939   0.100   0.039
 601.0   0.240   0.131   0.939   0.099   0.039
 602.0   0.241   0.131   0.939   0.099   0.039
 603.0   0.241   0.132   0.939   0.099   0.038
 604.0   0.242   0.132   0.939   0.098   0.038
 605.0   0.242   0.133   0.939   0.098   0.038
 606.0   0.242   0.134   0.939   0.098   0.038
 607.0   0.243   0.134   0.939   0.097   0.038
 608.0   0.243   0.135   0.939   0.097   0.037
 609.0   0.244   0.135   0.939   0.096   0.037
 610.0   0.244   0.136   0.939   0.096   0.037
 611.0   0.244   0.137   0.939   0.095   0.037
 612.0   0.245   0.137   0.939   0.095   0.037
 613.0   0.245   0.138   0.939   0.094   0.036
 614.0   0.246   0.138   0.939   0.094   0.036
 615.0   0.246   0.138   0.939   0.093   0.036
 616.0   0.246   0.139   0.938   0.092   0.036
 617.0   0.247   0.139   0.938   0.092   0.035
