  z    H2O         O3          CH4         NO2         OH         HCl
  0.0  1.4000E-02  3.0000E-08  1.6000E-06  0.0000E+00  6.0000E-14  0.0000E+00
  0.1  1.3681E-02  3.0333E-08  1.5999E-06  0.0000E+00  6.1389E-14  3.6727E-13
  0.2  1.3362E-02  3.0667E-08  1.5998E-06  0.0000E+00  6.2776E-14  7.3462E-13
  0.3  1.3044E-02  3.1001E-08  1.5996E-06  0.0000E+00  6.4161E-14  1.1021E-12
  0.4  1.2726E-02  3.1335E-08  1.5995E-06  0.0000E+00  6.5542E-14  1.4699E-12
  0.5  1.2409E-02  3.1670E-08  1.5994E-06  0.0000E+00  6.6916E-14  1.8379E-12
  0.6  1.2093E-02  3.2007E-08  1.5993E-06  0.0000E+00  6.8284E-14  2.2064E-12
  0.7  1.1777E-02  3.2344E-08  1.5992E-06  0.0000E+00  6.9643E-14  2.5753E-12
  0.8  1.1463E-02  3.2683E-08  1.5990E-06  0.0000E+00  7.0993E-14  2.9448E-12
  0.9  1.1150E-02  3.3024E-08  1.5989E-06  0.0000E+00  7.2331E-14  3.3149E-12
  1.0  1.0839E-02  3.3367E-08  1.5988E-06  0.0000E+00  7.3656E-14  3.6857E-12
  1.1  1.0529E-02  3.3711E-08  1.5987E-06  0.0000E+00  7.4967E-14  4.0573E-12
  1.2  1.0221E-02  3.4058E-08  1.5986E-06  0.0000E+00  7.6263E-14  4.4297E-12
  1.3  9.9149E-03  3.4408E-08  1.5985E-06  0.0000E+00  7.7541E-14  4.8031E-12
  1.4  9.6111E-03  3.4760E-08  1.5984E-06  0.0000E+00  7.8802E-14  5.1775E-12
  1.5  9.3095E-03  3.5115E-08  1.5983E-06  0.0000E+00  8.0042E-14  5.5531E-12
  1.6  9.0105E-03  3.5474E-08  1.5982E-06  0.0000E+00  8.1261E-14  5.9298E-12
  1.7  8.7141E-03  3.5835E-08  1.5981E-06  0.0000E+00  8.2458E-14  6.3077E-12
  1.8  8.4206E-03  3.6200E-08  1.5981E-06  0.0000E+00  8.3631E-14  6.6870E-12
  1.9  8.1300E-03  3.6569E-08  1.5980E-06  0.0000E+00  8.4778E-14  7.0677E-12
  2.0  7.8425E-03  3.6942E-08  1.5979E-06  0.0000E+00  8.5898E-14  7.4499E-12
  2.1  7.5584E-03  3.7319E-08  1.5979E-06  0.0000E+00  8.6990E-14  7.8337E-12
  2.2  7.2777E-03  3.7700E-08  1.5978E-06  0.0000E+00  8.8052E-14  8.2191E-12
  2.3  7.0007E-03  3.8086E-08  1.5978E-06  0.0000E+00  8.9084E-14  8.6063E-12
  2.4  6.7274E-03  3.8477E-08  1.5977E-06  0.0000E+00  9.0082E-14  8.9952E-12
  2.5  6.4582E-03  3.8873E-08  1.5977E-06  0.0000E+00  9.1047E-14  9.3861E-12
  2.6  6.1930E-03  3.9274E-08  1.5977E-06  0.0000E+00  9.1976E-14  9.7789E-12
  2.7  5.9322E-03  3.9680E-08  1.5976E-06  0.0000E+00  9.2869E-14  1.0174E-11
  2.8  5.6758E-03  4.0092E-08  1.5976E-06  0.0000E+00  9.3723E-14  1.0571E-11
  2.9  5.4241E-03  4.0510E-08  1.5976E-06  0.0000E+00  9.4538E-14  1.0970E-11
  3.0  5.1772E-03  4.0934E-08  1.5976E-06  0.0000E+00  9.5312E-14  1.1371E-11
  3.1  4.9352E-03  4.1364E-08  1.5976E-06  0.0000E+00  9.6044E-14  1.1775E-11
  3.2  4.6983E-03  4.1800E-08  1.5977E-06  0.0000E+00  9.6731E-14  1.2181E-11
  3.3  4.4668E-03  4.2243E-08  1.5977E-06  0.0000E+00  9.7373E-14  1.2590E-11
  3.4  4.2407E-03  4.2694E-08  1.5977E-06  0.0000E+00  9.7969E-14  1.3002E-11
  3.5  4.0202E-03  4.3151E-08  1.5978E-06  0.0000E+00  9.8517E-14  1.3416E-11
  3.6  3.8055E-03  4.3615E-08  1.5979E-06  0.0000E+00  9.9015E-14  1.3832E-11
  3.7  3.5967E-03  4.4087E-08  1.5979E-06  0.0000E+00  9.9462E-14  1.4252E-11
  3.8  3.3941E-03  4.4567E-08  1.5980E-06  0.0000E+00  9.9857E-14  1.4674E-11
  3.9  3.1978E-03  4.5054E-08  1.5981E-06  0.0000E+00  1.0020E-13  1.5100E-11
  4.0  3.0079E-03  4.5550E-08  1.5982E-06  0.0000E+00  1.0048E-13  1.5529E-11
  4.1  2.8246E-03  4.6054E-08  1.5983E-06  0.0000E+00  1.0071E-13  1.5960E-11
  4.2  2.6481E-03  4.6567E-08  1.5985E-06  0.0000E+00  1.0089E-13  1.6395E-11
